DL1,DL2,DL3,DL4,DL5,DL6,DL7,DL8,DL9,DL10,DL11,DL12,DL13,DL14
1e+20,1.8296e+11,5.431e+10,195.17,221.31,3.4592e+10,41.401,2.3835e+10,21.766,10.017,10.363,15.292,29.887,9.0156
1e+20,1.8119e+11,5.3449e+10,189.98,215.84,3.4107e+10,40.221,2.3506e+10,20.973,9.6432,10.262,15.073,29.295,8.7041
1e+20,1.7933e+11,5.2549e+10,184.56,210.1,3.3589e+10,38.993,2.3157e+10,20.157,9.2594,10.154,14.844,28.678,8.3846
1e+20,1.7736e+11,5.1607e+10,178.91,204.08,3.3035e+10,37.712,2.2787e+10,19.315,8.8649,10.04,14.603,28.033,8.0567
1e+20,1.7526e+11,5.0619e+10,173.02,197.77,3.2442e+10,36.375,2.2394e+10,18.446,8.4593,9.9168,14.349,27.358,7.7197
1e+20,1.7304e+11,4.9579e+10,166.86,191.15,3.1807e+10,34.978,2.1974e+10,17.549,8.0417,9.7849,14.081,26.649,7.3729
1e+20,1.7066e+11,4.8484e+10,160.41,184.2,3.1123e+10,33.516,2.1524e+10,16.622,7.6115,9.6426,13.796,25.903,7.0155
1e+20,1.6812e+11,4.7325e+10,153.65,176.87,3.0384e+10,31.983,2.104e+10,15.663,7.1675,9.4882,13.492,25.114,6.6464
1e+20,1.654e+11,4.6095e+10,146.55,169.15,2.9584e+10,30.37,2.0517e+10,14.668,6.7086,9.3198,13.167,24.276,6.2642
1e+20,1.6246e+11,4.4783e+10,139.07,160.97,2.8712e+10,28.667,1.9948e+10,13.635,6.2332,9.1345,12.816,23.381,5.8673
1e+20,1.5927e+11,4.3375e+10,131.15,152.29,2.7754e+10,26.863,1.9325e+10,12.558,5.7392,8.9287,12.433,22.419,5.4534
1e+20,1.5578e+11,4.1852e+10,122.72,143.02,2.6694e+10,24.939,1.8634e+10,11.433,5.2239,8.6975,12.013,21.374,5.0194
1e+20,1.5193e+11,4.0188e+10,113.69,133.05,2.5506e+10,22.873,1.786e+10,10.251,4.6835,8.4335,11.543,20.226,4.5611
1e+20,1.4762e+11,3.8343e+10,103.91,122.21,2.4152e+10,20.628,1.6975e+10,8.9989,4.1126,8.1256,11.009,18.944,4.0722
1e+20,1.4268e+11,3.6251e+10,93.139,110.24,2.2572e+10,18.149,1.5936e+10,7.6594,3.5024,7.7551,10.384,17.474,3.5425
1e+20,1.3683e+11,3.3792e+10,80.931,96.641,2.0652e+10,15.335,1.466e+10,6.1996,2.8377,7.2867,9.6176,15.721,2.9541
1e+20,1.2942e+11,3.0688e+10,66.28,80.284,1.8132e+10,11.97,1.2956e+10,4.5506,2.0864,6.6369,8.5923,13.462,2.2674
1e+20,1.1792e+11,2.5834e+10,45.445,56.943,1.4025e+10,7.3263,1.0078e+10,2.4922,1.1454,5.4746,6.8496,9.8648,1.3517
1e+20,1.963e+11,6.1299e+10,242.77,266.17,4.2652e+10,59.396,2.7183e+10,40.823,25.931,24.941,7.974,28.249,12.073
1e+20,1.9527e+11,6.073e+10,239.44,262.82,4.2347e+10,58.614,2.7006e+10,40.141,25.518,24.666,7.9238,27.916,11.847
1e+20,1.9418e+11,6.0139e+10,235.95,259.3,4.202e+10,57.8,2.682e+10,39.437,25.092,24.38,7.8716,27.573,11.616
1e+20,1.9304e+11,5.9525e+10,232.31,255.59,4.1672e+10,56.952,2.6625e+10,38.71,24.653,24.084,7.8175,27.219,11.381
1e+20,1.9183e+11,5.8888e+10,228.51,251.7,4.1301e+10,56.069,2.6419e+10,37.96,24.201,23.776,7.7612,26.853,11.14
1e+20,1.9056e+11,5.8225e+10,224.55,247.61,4.0907e+10,55.151,2.6203e+10,37.186,23.735,23.456,7.7027,26.475,10.895
1e+20,1.8922e+11,5.7537e+10,220.43,243.32,4.0487e+10,54.195,2.5975e+10,36.388,23.256,23.123,7.6418,26.085,10.644
1e+20,1.8781e+11,5.6821e+10,216.13,238.83,4.0042e+10,53.201,2.5735e+10,35.565,22.762,22.778,7.5782,25.681,10.388
1e+20,1.8633e+11,5.6076e+10,211.65,234.13,3.9568e+10,52.168,2.5483e+10,34.716,22.253,22.419,7.5119,25.263,10.127
1e+20,1.8476e+11,5.53e+10,206.99,229.2,3.9064e+10,51.093,2.5217e+10,33.841,21.73,22.045,7.4426,24.83,9.86
1e+20,1.8311e+11,5.4492e+10,202.14,224.05,3.8529e+10,49.974,2.4937e+10,32.938,21.19,21.656,7.3699,24.382,9.5872
1e+20,1.8136e+11,5.3649e+10,197.09,218.65,3.796e+10,48.811,2.464e+10,32.007,20.633,21.251,7.2937,23.916,9.3083
1e+20,1.7952e+11,5.2769e+10,191.83,213.01,3.7355e+10,47.6,2.4327e+10,31.046,20.059,20.828,7.2135,23.433,9.023
1e+20,1.7757e+11,5.1848e+10,186.35,207.11,3.671e+10,46.339,2.3995e+10,30.055,19.466,20.387,7.1288,22.93,8.731
1e+20,1.755e+11,5.0885e+10,180.65,200.94,3.6022e+10,45.024,2.3642e+10,29.031,18.854,19.925,7.0393,22.406,8.4318
1e+20,1.733e+11,4.9873e+10,174.7,194.47,3.5288e+10,43.653,2.3267e+10,27.973,18.221,19.44,6.9443,21.858,8.1251
1e+20,1.7096e+11,4.881e+10,168.49,187.7,3.4502e+10,42.22,2.2867e+10,26.878,17.565,18.931,6.843,21.285,7.8102
1e+20,1.6847e+11,4.7689e+10,162.01,180.59,3.3659e+10,40.722,2.2439e+10,25.745,16.885,18.395,6.7345,20.683,7.4865
1e+20,1.658e+11,4.6503e+10,155.22,173.13,3.2752e+10,39.151,2.1978e+10,24.57,16.179,17.829,6.6178,20.05,7.1531
1e+20,1.6293e+11,4.5245e+10,148.12,165.29,3.1774e+10,37.501,2.1482e+10,23.35,15.444,17.229,6.4913,19.38,6.8091
1e+20,1.5983e+11,4.3904e+10,140.65,157.01,3.0713e+10,35.762,2.0942e+10,22.079,14.676,16.59,6.3534,18.668,6.4532
1e+20,1.5646e+11,4.2466e+10,132.78,148.27,2.9556e+10,33.924,2.0353e+10,20.753,13.871,15.905,6.2015,17.907,6.0837
1e+20,1.5278e+11,4.0914e+10,124.47,139,2.8288e+10,31.972,1.9704e+10,19.365,13.024,15.168,6.0326,17.089,5.6986
1e+20,1.4872e+11,3.9224e+10,115.63,129.12,2.6886e+10,29.886,1.898e+10,17.903,12.128,14.366,5.842,16.201,5.295
1e+20,1.4418e+11,3.7361e+10,106.18,118.52,2.5317e+10,27.64,1.8162e+10,16.356,11.172,13.484,5.6235,15.226,4.8689
1e+20,1.3902e+11,3.5274e+10,95.978,107.05,2.3538e+10,25.195,1.7221e+10,14.704,10.141,12.501,5.367,14.138,4.4143
1e+20,1.3299e+11,3.2881e+10,84.816,94.48,2.1479e+10,22.491,1.6108e+10,12.918,9.0137,11.381,5.0565,12.898,3.9221
1e+20,1.2568e+11,3.0033e+10,72.343,80.415,1.9019e+10,19.425,1.4737e+10,10.946,7.7495,10.064,4.6628,11.436,3.376
1e+20,1.1612e+11,2.6413e+10,57.866,64.092,1.5922e+10,15.798,1.2926e+10,8.6895,6.2708,8.4291,4.124,9.6142,2.7432
1e+20,1.0133e+11,2.108e+10,39.566,43.521,1.1568e+10,11.072,1.0149e+10,5.8854,4.3698,6.151,3.2615,7.0559,1.9337
1e+20,1.9625e+11,6.1242e+10,238.91,264.83,4.0193e+10,54.123,2.6671e+10,32.73,23.152,24.142,16.437,27.693,4.4549
